timestamp,institutionType,institutionName,unitName,location,jobTitle,orSpecialty,orRole,dailyCases,roomCount,dayShiftRatio,onCallSystem,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,workAtmosphere,promotion,recommendIndex,comment
2025-11-03,地區醫院,國立臺灣大學醫學院附設醫院金山分院,門診手術室,新北市,N1,一般外科,混合輪替,15-25,12間,1:2刀台,有，常被 call 回,50-55,一律給,4,8,66,28,10,3,機會多,3,
2025-11-03,醫學中心,國立台灣大學醫學院附設醫院,心臟外科手術室,台北市,N0,心臟外科,刷手護理師,20-30,3間,1:1刀台,無,50-55,主管判斷,7,8,92,39,14,4,機會多,3,團隊互助強
2025-11-02 14:08,醫學中心,長庚醫療財團法人高雄長庚紀念醫院,兒外手術室,高雄市,N1,兒外,混合輪替,12-18,8間,1:2刀台,有，常被 call 回,45-50,一律給,6,5,107,45,16,4,機會多,3,門診作息穩定
2025-11-01 21:47,醫學中心,佛教慈濟醫療財團法人台北慈濟醫院,心臟外科手術室,新北市,護理長,心臟外科,麻醉護理,5-8,12間,1:2刀台,有，常被 call 回,50-55,合理範圍給,2,9,128,54,19,4,機會多,3,排班相對人性化
2025-10-31,醫學中心,臺北榮民總醫院,骨科手術室,台北市,N1,骨科,混合輪替,12-18,4間,1:1刀台,有，常被 call 回,55-60,一律不給,2,7,101,42,15,2,普通,1,leader 形同虛設
2025-10-31,醫學中心,長庚醫療財團法人台北長庚紀念醫院,中央手術室,台北市,N3,混合,刷手護理師,8-12,12間,1:1刀台,有，少被 call,45-50,合理範圍給,5,4,109,46,16,3,普通,3,
2025-10-31,地區醫院,衛生福利部樂生療養院,泌尿手術室,新北市,N2,泌尿,刷手護理師,30-50,6間,1:2刀台,有，常被 call 回,45-50,合理範圍給,4,13,68,29,10,3,難以升遷,2,工時長但待遇可
2025-10-29 09:54,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,PACU,台北市,專科護理師,混合,恢復室,—,—,1:3病人,無,50-55,合理範圍給,7,1,121,51,18,4,機會多,3,訓練體系完整
2025-10-28 17:25,區域醫院,童綜合醫療社團法人童綜合醫院及其沙鹿院區,泌尿手術室,台中市,副護理長,泌尿,麻醉護理,20-30,20間,1:1刀台,有，常被 call 回,45-50,合理範圍給,1,3,111,47,17,3,普通,3,人力穩定但行政會議多
2025-10-28 17:18,區域醫院,李綜合醫療社團法人大甲李綜合醫院,骨科手術室,台中市,N1,骨科,混合輪替,8-12,12間,1:1刀台,有，常被 call 回,55-60,一律不給,4,13,79,33,12,3,難以升遷,2,加班頻率可接受
2025-10-28,醫學中心,長庚醫療財團法人高雄長庚紀念醫院,恢復室,高雄市,護理長,混合,恢復室,—,—,1:3病人,無,50-55,合理範圍給,3,7,135,57,20,3,機會多,3,
2025-10-27,區域醫院,聯新國際醫院,整形外科手術室,桃園市,N1,整形外科,麻醉護理,30-50,15間,1:1刀台,有，常被 call 回,50-55,主管判斷,4,8,81,34,12,3,普通,3,同事關係好
2025-10-27,區域醫院,高雄市立聯合醫院,中央手術室,高雄市,N1,混合,混合輪替,5-8,20間,1:1刀台,無,45-50,合理範圍給,5,4,80,34,12,4,機會多,3,團隊互助強
2025-10-26,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,整形外科手術室,台北市,專科護理師,整形外科,刷手護理師,15-25,12間,1:2刀台,無,50-55,一律給,8,9,124,52,19,4,機會多,3,專科氣氛 OK
2025-10-25 20:15,醫學中心,國泰醫療財團法人汐止國泰綜合醫院,兒外手術室,新北市,N1,兒外,麻醉護理,20-30,15間,1:2刀台,有，少被 call,50-55,合理範圍給,2,3,96,40,14,4,機會多,3,兒科氣氛溫暖
2025-10-25,醫學中心,國泰醫療財團法人國泰綜合醫院,PACU,台北市,N1,混合,恢復室,—,—,1:3病人,無,55-60,主管判斷,4,4,94,39,14,3,難以升遷,2,加班頻率可接受
2025-10-24,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,耳鼻喉手術室,台北市,N1,耳鼻喉,混合輪替,20-30,3間,1:1刀台,有，常被 call 回,55-60,一律不給,7,7,101,42,15,3,難以升遷,2,
2025-10-23,醫學中心,臺北榮民總醫院,PACU,台北市,N2,混合,恢復室,—,—,1:3病人,無,55-60,一律不給,8,7,110,46,17,3,難以升遷,2,被當打雜
2025-10-22 18:06,醫學中心,中國醫藥大學兒童醫院,綜合手術室,台中市,N1,混合,混合輪替,15-25,4間,1:1刀台,有，常被 call 回,50-55,一律給,2,8,93,39,14,4,普通,3,資深領班受重視
2025-10-22,區域醫院,澄清綜合醫院,骨科手術室,台中市,副護理長,骨科,麻醉護理,20-30,12間,1:1刀台,有，常被 call 回,50-55,合理範圍給,2,5,108,45,16,3,難以升遷,2,
2025-10-22,醫學中心,衛生福利部雙和醫院(委託臺北醫學大學興建經營),泌尿手術室,新北市,N3,泌尿,麻醉護理,12-18,15間,1:2刀台,有，常被 call 回,50-55,合理範圍給,7,8,113,47,17,3,普通,3,可學到很多技術
2025-10-21,醫學中心,中山醫學大學附設醫院,眼科手術室,台中市,N1,眼科,刷手護理師,12-18,4間,1:1刀台,無,50-55,主管判斷,3,9,98,41,15,4,機會多,3,專科很強值得待
2025-10-20 17:07,區域醫院,醫療財團法人辜公亮基金會和信治癌中心醫院,恢復室,台北市,N1,混合,恢復室,—,—,1:3病人,無,50-55,合理範圍給,4,11,88,37,13,4,普通,3,團隊互助強
2025-10-20,區域醫院,新北市立聯合醫院及其板橋院區,中央手術室,新北市,N2,混合,刷手護理師,30-50,12間,1:1刀台,無,50-55,合理範圍給,8,8,88,37,13,3,普通,3,團隊互助強
2025-10-19 08:22,區域醫院,輔英科技大學附設醫院,恢復室,屏東縣,N0,混合,恢復室,—,—,1:3病人,無,45-50,合理範圍給,2,8,83,35,12,4,普通,3,訓練體系完整
2025-10-19,醫學中心,中國醫藥大學兒童醫院,婦產手術室,台中市,N3,婦產,混合輪替,20-30,12間,1:1刀台,有，少被 call,45-50,主管判斷,3,10,111,47,17,3,機會多,3,新人訓練紮實
2025-10-16,醫學中心,彰化基督教醫療財團法人彰化基督教醫院,綜合手術室,彰化縣,N4,混合,混合輪替,15-25,3間,1:1刀台,有，常被 call 回,45-50,合理範圍給,1,13,135,57,20,4,機會多,3,專科很強值得待
2025-10-15 14:28,區域醫院,國立臺灣大學醫學院附設醫院癌醫中心分院,骨科手術室,台北市,專科護理師,骨科,混合輪替,8-12,6間,1:1刀台,無,45-50,合理範圍給,7,7,113,47,17,3,普通,3,案件量大但有規矩
2025-10-14 23:04,地區醫院,烏日澄清醫院,眼科手術室,台中市,N2,眼科,流動護理師,8-12,12間,1:2刀台,有，常被 call 回,55-60,一律不給,8,11,83,35,12,3,普通,2,
2025-10-14,區域醫院,振興醫療財團法人振興醫院,整形外科手術室,台北市,副護理長,整形外科,刷手護理師,30-50,12間,1:1刀台,有，常被 call 回,55-60,一律不給,5,9,117,49,18,3,難以升遷,1,
2025-10-13,醫學中心,三軍總醫院附設民眾診療服務處及其汀州院區,神經外科手術室,台北市,護理長,神經外科,混合輪替,15-25,15間,1:2刀台,有，少被 call,50-55,合理範圍給,5,11,128,54,19,4,普通,3,夜班輪轉公平
2025-10-12,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,PACU,台北市,N1,混合,恢復室,—,—,1:3病人,無,45-50,合理範圍給,8,1,101,42,15,4,機會多,3,訓練體系完整
2025-10-10,區域醫院,亞洲大學附屬醫院,眼科手術室,台中市,N0,眼科,流動護理師,8-12,8間,1:1刀台,有，常被 call 回,50-55,一律給,1,13,85,36,13,4,機會多,3,可學到很多技術
2025-10-10,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,門診手術室,台北市,N2,一般外科,流動護理師,15-25,3間,1:1刀台,有，少被 call,50-55,主管判斷,2,10,107,45,16,4,機會多,3,兒科氣氛溫暖
2025-10-09 16:23,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,眼科手術室,台南市,N1,眼科,刷手護理師,30-50,3間,1:1刀台,有，常被 call 回,50-55,一律給,1,13,102,43,15,3,普通,3,中部醫院 case 量適中
2025-10-08,地區醫院,漢忠醫院,中央手術室,台中市,護理長,混合,混合輪替,5-8,8間,1:1刀台,有，少被 call,50-55,一律給,1,1,105,44,16,4,機會多,3,資深領班受重視
2025-10-06,醫學中心,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,中央開刀房,新竹市,護理長,混合,刷手護理師,12-18,4間,1:1刀台,有，常被 call 回,45-50,主管判斷,3,5,135,57,20,3,普通,3,主管支持度高
2025-10-06,地區醫院,清泉醫院,眼科手術室,台中市,N2,眼科,刷手護理師,20-30,8間,1:1刀台,有，少被 call,50-55,合理範圍給,2,1,71,30,11,4,機會多,3,訓練體系完整
2025-10-05 21:13,地區醫院,璟馨婦幼醫院,神經外科手術室,台南市,N3,神經外科,刷手護理師,15-25,3間,1:2刀台,有，少被 call,45-50,合理範圍給,3,4,81,34,12,2,普通,1,人力過勞且無加班費
2025-10-05 17:44,區域醫院,阮綜合醫療社團法人阮綜合醫院,中央手術室,高雄市,護理長,混合,混合輪替,30-50,12間,1:1刀台,有，常被 call 回,55-60,一律不給,4,9,115,48,17,3,普通,2,leader 形同虛設
2025-10-04 11:42,區域醫院,衛生福利部桃園醫院,婦產手術室,桃園市,N2,婦產,混合輪替,15-25,20間,1:1刀台,有，少被 call,55-60,一律不給,2,9,95,40,14,3,難以升遷,1,leader 形同虛設
2025-10-04 07:55,區域醫院,澄清綜合醫院,泌尿手術室,台中市,N1,泌尿,刷手護理師,12-18,12間,1:2刀台,有，常被 call 回,50-55,合理範圍給,7,4,87,37,13,3,難以升遷,2,
2025-10-04,醫學中心,長庚醫療財團法人高雄長庚紀念醫院,中央手術室,高雄市,N4,混合,流動護理師,20-30,15間,1:1刀台,有，少被 call,45-50,合理範圍給,6,11,138,58,21,3,普通,3,專科很強值得待
2025-10-02 16:15,醫學中心,長庚醫療財團法人林口長庚紀念醫院,中央開刀房,桃園市,N3,混合,流動護理師,20-30,12間,1:2刀台,有，少被 call,45-50,主管判斷,5,2,115,48,17,4,機會多,3,團隊互助強
2025-10-02,區域醫院,臺北榮民總醫院桃園分院,PACU,桃園市,N3,混合,恢復室,—,—,1:3病人,無,50-55,主管判斷,2,7,107,45,16,3,機會多,3,氣氛輕鬆
2025-10-01 08:21,醫學中心,高雄榮民總醫院,婦產手術室,高雄市,N1,婦產,刷手護理師,15-25,3間,1:1刀台,有，少被 call,55-60,主管判斷,8,10,98,41,15,2,難以升遷,1,主管偏心嚴重
2025-10-01,醫學中心,臺北榮民總醫院,恢復室,台北市,N3,混合,恢復室,—,—,1:3病人,無,50-55,主管判斷,5,9,108,45,16,4,普通,3,可學到很多技術
2025-09-30 09:49,區域醫院,國軍花蓮總醫院附設民眾診療服務處,整形外科手術室,花蓮縣,N2,整形外科,刷手護理師,5-8,6間,1:1刀台,有，常被 call 回,50-55,合理範圍給,2,4,96,40,14,4,機會多,3,中部醫院 case 量適中
2025-09-30,區域醫院,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,泌尿手術室,新竹市,N1,泌尿,混合輪替,20-30,3間,1:1刀台,有，少被 call,50-55,主管判斷,7,6,81,34,12,3,難以升遷,2,工時超長
2025-09-28 20:05,醫學中心,中國醫藥大學兒童醫院,PACU,台中市,N0,混合,恢復室,—,—,1:3病人,無,55-60,主管判斷,2,6,100,42,15,3,難以升遷,2,中部醫院 case 量適中
2025-09-27 10:02,醫學中心,中國醫藥大學兒童醫院,神經外科手術室,台中市,護理長,神經外科,混合輪替,12-18,6間,1:2刀台,有，少被 call,50-55,主管判斷,6,3,131,55,20,3,普通,3,專科氣氛 OK
2025-09-26 22:03,地區醫院,天主教靈醫會醫療財團法人礁溪杏和醫院,神經外科手術室,宜蘭縣,N1,神經外科,麻醉護理,8-12,3間,1:1刀台,有，少被 call,55-60,一律不給,7,1,72,30,11,2,普通,1,
2025-09-26 13:35,區域醫院,李綜合醫療社團法人大甲李綜合醫院,中央手術室,台中市,N3,混合,混合輪替,15-25,4間,1:1刀台,有，少被 call,45-50,主管判斷,7,9,92,39,14,4,普通,3,
2025-09-26 08:37,醫學中心,義大醫療財團法人義大醫院,神經外科手術室,高雄市,N3,神經外科,流動護理師,5-8,4間,1:1刀台,有，常被 call 回,55-60,一律不給,2,13,116,49,17,3,難以升遷,1,人力極端不足
2025-09-26,醫學中心,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,兒外手術室,新北市,N0,兒外,刷手護理師,8-12,3間,1:1刀台,無,55-60,主管判斷,7,2,101,42,15,3,難以升遷,2,常被臨時調班
2025-09-26,區域醫院,衛生福利部基隆醫院,中央手術室,基隆市,N4,混合,混合輪替,20-30,3間,1:1刀台,有，常被 call 回,45-50,主管判斷,5,8,112,47,17,4,機會多,3,加班頻率可接受
2025-09-26,地區醫院,衛生福利部嘉義醫院,中央手術室,嘉義市,N2,混合,混合輪替,20-30,12間,1:1刀台,有，常被 call 回,55-60,主管判斷,2,7,72,30,11,3,難以升遷,1,
2025-09-26,醫學中心,國立台灣大學醫學院附設醫院,眼科手術室,台北市,N1,眼科,刷手護理師,5-8,4間,1:1刀台,有，少被 call,45-50,合理範圍給,5,1,100,42,15,4,普通,3,安寧團隊互相 support
2025-09-25 17:13,醫學中心,臺中榮民總醫院,PACU,台中市,N2,混合,恢復室,—,—,1:3病人,無,50-55,主管判斷,4,12,105,44,16,3,難以升遷,2,專科氣氛 OK
2025-09-25,地區醫院,光雄長安醫院,綜合手術室,高雄市,N1,混合,流動護理師,20-30,4間,1:2刀台,有，常被 call 回,50-55,合理範圍給,3,2,73,31,11,3,難以升遷,2,主管常 stand-by 不夠
2025-09-23 12:39,區域醫院,戴德森醫療財團法人嘉義基督教醫院,骨科手術室,嘉義市,N1,骨科,麻醉護理,5-8,6間,1:1刀台,有，常被 call 回,50-55,合理範圍給,4,6,90,38,14,4,機會多,3,資深領班受重視
2025-09-23,區域醫院,天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫,婦產手術室,嘉義市,N2,婦產,流動護理師,30-50,4間,1:2刀台,有，少被 call,55-60,一律不給,2,7,91,38,14,3,普通,1,
2025-09-22 21:17,地區醫院,臺北榮民總醫院蘇澳分院,骨科手術室,宜蘭縣,N2,骨科,麻醉護理,15-25,12間,1:1刀台,有，少被 call,45-50,合理範圍給,2,13,75,32,11,4,機會多,3,排班相對人性化
2025-09-22 19:30,地區醫院,祐生醫院,耳鼻喉手術室,高雄市,N0,耳鼻喉,流動護理師,30-50,6間,1:1刀台,有，常被 call 回,50-55,主管判斷,3,8,60,25,9,4,機會多,3,
2025-09-22 18:30,地區醫院,勝美醫院,兒外手術室,台中市,N0,兒外,麻醉護理,20-30,20間,1:1刀台,有，常被 call 回,45-50,合理範圍給,7,5,62,26,9,3,機會多,3,
2025-09-21 08:48,區域醫院,衛生福利部旗山醫院,中央手術室,高雄市,護理長,混合,麻醉護理,5-8,3間,1:1刀台,有，常被 call 回,50-55,合理範圍給,1,11,117,49,18,4,機會多,3,氣氛輕鬆
2025-09-21,醫學中心,長庚醫療財團法人林口長庚紀念醫院,兒外手術室,桃園市,N3,兒外,麻醉護理,5-8,12間,1:1刀台,無,45-50,主管判斷,2,6,109,46,16,4,普通,3,氣氛輕鬆
2025-09-20 22:04,區域醫院,台灣基督長老教會馬偕醫療財團法人新竹馬偕紀念醫院,婦產手術室,新竹市,副護理長,婦產,麻醉護理,30-50,15間,1:2刀台,有，常被 call 回,50-55,主管判斷,4,6,116,49,17,3,機會多,3,案件多但學得快
2025-09-20,醫學中心,國泰醫療財團法人汐止國泰綜合醫院,兒外手術室,新北市,N1,兒外,刷手護理師,8-12,12間,1:1刀台,有，常被 call 回,55-60,主管判斷,2,2,104,44,16,3,普通,2,工時長到爆
2025-09-18 14:59,醫學中心,中國醫藥大學附設醫院,門診手術室,台中市,N2,一般外科,刷手護理師,8-12,20間,1:1刀台,有，少被 call,45-50,一律給,3,5,101,42,15,3,難以升遷,2,leader 形同虛設
2025-09-18,醫學中心,佛教慈濟醫療財團法人花蓮慈濟醫院,骨科手術室,花蓮縣,N1,骨科,麻醉護理,5-8,20間,1:1刀台,無,50-55,合理範圍給,1,8,98,41,15,3,難以升遷,2,門診作息穩定
2025-09-18,醫學中心,佛教慈濟醫療財團法人花蓮慈濟醫院,綜合手術室,花蓮縣,N2,混合,麻醉護理,8-12,20間,1:1刀台,有，常被 call 回,45-50,合理範圍給,1,8,109,46,16,4,機會多,3,薪資與制度都優
2025-09-16,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,門診手術室,台北市,N2,一般外科,刷手護理師,15-25,3間,1:2刀台,有，常被 call 回,50-55,主管判斷,2,4,113,47,17,3,機會多,3,薪資與制度都優
