timestamp,institutionType,institutionName,unitName,location,jobTitle,clinicSpecialty,clinicPayerType,clinicScale,clinicDuties,clinicShift,dailyPatients,lunchBreak,laborInsurance,holidayCompliance,annualLeave,patientComplaints,violenceRisk,salaryStructure,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,specialBenefits,workAtmosphere,promotion,recommendIndex,comment
2025-11-01 21:51,診所,光華眼科診所,眼科,苗栗縣,櫃檯護理師,眼科,健保特約為主,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,含夜診,150 以上,有，但常被中斷／縮短,有，足額投保,依法給,依法給足,罕見,中,月薪＋看診量／獎金,40-45,主管判斷,7,1,58,24,9,,4,機會多,3,人力穩定但行政會議多
2025-11-01 13:43,診所,宏恩身心診所,身心科,嘉義市,跟診護理師,身心科,健保特約為主,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,純早診,30–60,有，但常被中斷／縮短,有，足額投保,部分,依法給足,經常,無,月薪＋看診量／獎金,35-40,主管判斷,7,6,72,30,11,三節禮金,4,機會多,3,新人訓練紮實
2025-10-30 12:11,診所,惠民健檢中心,健檢,雲林縣,跟診護理師,健檢,自費為主（如醫美）,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,含夜診,30 以下,有，但常被中斷／縮短,有，但以多報少,依法給,幾乎無,幾乎沒有,無,固定月薪,40-45,合理範圍給,8,3,66,28,10,員工旅遊補助,3,機會多,3,兒科氣氛溫暖
2025-10-30 08:51,診所,惠民中醫診所,中醫,高雄市,跟診護理師,中醫,兩者皆有,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,週末門診輪值,30 以下,有，完整 1 小時,有，足額投保,無／不清楚,依法給足,罕見,低,固定月薪,40-45,合理範圍給,7,1,67,28,10,年節獎金,3,普通,2,工時超長
2025-10-30,診所,德安健檢中心,健檢,新竹市,護理長,健檢,自費為主（如醫美）,只有我一人,跟診協助、批價／掛號／櫃檯,早＋午＋晚診,150 以上,有，但常被中斷／縮短,有，但以多報少,依法給,依法給足,幾乎沒有,無,固定月薪,35-40,合理範圍給,5,1,107,45,16,三節禮金,3,難以升遷,2,中部醫院 case 量適中
2025-10-29 15:04,診所,安欣健檢中心,健檢,南投縣,護理師,健檢,兩者皆有,只有我一人,跟診協助、注射／抽血、衛教,含夜診,150 以上,有，完整 1 小時,有，足額投保,無／不清楚,打折,偶爾,低,固定月薪,40-45,合理範圍給,2,9,73,31,11,,3,難以升遷,2,夜班暴力事件多
2025-10-29,診所,安欣牙醫診所,牙科,宜蘭縣,櫃檯護理師,牙科,健保特約為主,4 人以上,跟診協助、注射／抽血、衛教,早＋午＋晚診,100–150,有，完整 1 小時,有，足額投保,依法給,依法給足,經常,中,月薪＋看診量／獎金,45-50,一律給,6,6,66,28,10,彈性工時,4,機會多,3,專科很強值得待
2025-10-28 11:47,診所,安欣皮膚科診所,皮膚科,宜蘭縣,診所護理師,皮膚科,兩者皆有,2–3 人,跟診協助、注射／抽血、衛教,含夜診,30 以下,無,有，足額投保,依法給,依法給足,偶爾,無,時薪,40-45,合理範圍給,7,12,63,26,9,三節禮金,4,普通,3,主管管太細
2025-10-26 14:30,診所,明德小兒科診所,小兒科,苗栗縣,櫃檯護理師,小兒科,兩者皆有,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,純早診,30 以下,無,有，足額投保,依法給,打折,罕見,低,月薪＋看診量／獎金,45-50,合理範圍給,5,10,62,26,9,彈性工時,4,機會多,3,專科氣氛 OK
2025-10-26,診所,光華牙醫診所,牙科,屏東縣,護理師,牙科,健保特約為主,只有我一人,跟診協助、注射／抽血、衛教,含夜診,30–60,無,有，但以多報少,部分,依法給足,幾乎沒有,低,時薪,35-40,合理範圍給,2,1,60,25,9,,4,普通,3,
2025-10-25 07:24,診所,康聯中醫診所,中醫,桃園市,護理長,中醫,健保特約為主,只有我一人,跟診協助、傷口換藥／小手術協助、疫苗接種,早＋午＋晚診,60–100,有，完整 1 小時,有，足額投保,依法給,幾乎無,罕見,中,固定月薪,40-45,合理範圍給,5,9,102,43,15,年節獎金,3,機會多,3,中部醫院 case 量適中
2025-10-24 22:42,診所,德安牙醫診所,牙科,宜蘭縣,診所護理師,牙科,兩者皆有,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,週末門診輪值,100–150,有，完整 1 小時,有，足額投保,依法給,依法給足,經常,無,月薪＋看診量／獎金,45-50,主管判斷,7,4,61,26,9,彈性工時,4,普通,3,訓練體系完整
2025-10-24,診所,康仁中醫診所,中醫,屏東縣,櫃檯護理師,中醫,健保特約為主,2–3 人,跟診協助、批價／掛號／櫃檯,含夜診,60–100,有，但常被中斷／縮短,有，足額投保,依法給,幾乎無,偶爾,低,固定月薪,35-40,合理範圍給,7,13,62,26,9,彈性工時,4,機會多,3,主管支持度高
2025-10-23,診所,光華小兒科診所,小兒科,嘉義市,護理長,小兒科,兩者皆有,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,含夜診,30–60,無,有，足額投保,依法給,依法給足,幾乎沒有,低,時薪,45-50,合理範圍給,6,1,93,39,14,三節禮金,3,普通,2,
2025-10-23,診所,光華診所,泌尿／腸胃,桃園市,護理師,泌尿／腸胃,健保特約為主,2–3 人,跟診協助、傷口換藥／小手術協助、疫苗接種,含夜診,60–100,無,有，但以多報少,依法給,依法給足,幾乎沒有,無,時薪,45-50,合理範圍給,5,8,67,28,10,,3,普通,3,新人訓練紮實
2025-10-22 14:40,診所,安欣診所,其他,桃園市,櫃檯護理師,其他,兩者皆有,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,早＋午診,60–100,有，完整 1 小時,有，但以多報少,部分,幾乎無,罕見,低,月薪＋看診量／獎金,40-45,合理範圍給,1,11,72,30,11,,4,普通,3,同事關係好
2025-10-22,診所,家和耳鼻喉科診所,耳鼻喉科,台東縣,護理長,耳鼻喉科,健保特約為主,只有我一人,跟診協助、批價／掛號／櫃檯,週末門診輪值,100–150,有，完整 1 小時,有，但以多報少,依法給,幾乎無,幾乎沒有,中,時薪,35-40,合理範圍給,4,1,95,40,14,彈性工時,4,機會多,3,排班相對人性化
2025-10-22,診所,立安小兒科診所,小兒科,高雄市,護理師,小兒科,健保特約為主,4 人以上,批價／掛號／櫃檯、給藥／藥品調劑協助,早＋午診,60–100,無,無,部分,打折,偶爾,低,固定月薪,45-50,一律給,3,7,58,24,9,員工旅遊補助,4,機會多,3,
2025-10-21 18:31,診所,欣民牙醫診所,牙科,花蓮縣,診所護理師,牙科,兩者皆有,只有我一人,跟診協助、傷口換藥／小手術協助、疫苗接種,純早診,60–100,無,有，足額投保,依法給,打折,經常,中,月薪＋看診量／獎金,40-45,主管判斷,4,12,61,26,9,彈性工時,3,普通,3,工時長但待遇可
2025-10-21,診所,大同牙醫診所,牙科,台北市,診所護理師,牙科,健保特約為主,只有我一人,跟診協助、注射／抽血、衛教,含夜診,30 以下,有，完整 1 小時,有，但以多報少,依法給,打折,經常,低,固定月薪,40-45,合理範圍給,7,7,61,26,9,,3,機會多,3,同事關係好
2025-10-19,診所,大同小兒科診所,小兒科,基隆市,護理長,小兒科,健保特約為主,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,週末門診輪值,100–150,有，完整 1 小時,有，足額投保,部分,依法給足,偶爾,低,固定月薪,35-40,主管判斷,4,11,95,40,14,,4,機會多,3,中部醫院 case 量適中
2025-10-19,診所,欣民內科診所,家醫／一般內科,新竹縣,跟診護理師,家醫／一般內科,兩者皆有,4 人以上,跟診協助、批價／掛號／櫃檯,週末門診輪值,100–150,有，但常被中斷／縮短,有，但以多報少,依法給,依法給足,幾乎沒有,無,時薪,35-40,合理範圍給,4,12,63,26,9,彈性工時,3,機會多,3,訓練體系完整
2025-10-19,診所,仁愛洗腎診所,洗腎診所,嘉義市,跟診護理師,洗腎診所,健保特約為主,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,早＋午＋晚診,100–150,有，完整 1 小時,有，足額投保,部分,依法給足,幾乎沒有,中,固定月薪,40-45,主管判斷,1,7,66,28,10,,4,機會多,3,同事關係好
2025-10-17 16:37,診所,杏一耳鼻喉科診所,耳鼻喉科,嘉義縣,跟診護理師,耳鼻喉科,健保特約為主,只有我一人,跟診協助、注射／抽血、衛教,純早診,30–60,無,有，足額投保,部分,依法給足,經常,低,時薪,45-50,主管判斷,6,3,71,30,11,,3,機會多,3,主管支持度高
2025-10-17,診所,家和婦產科診所,婦產科,宜蘭縣,護理師,婦產科,健保特約為主,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午診,150 以上,有，但常被中斷／縮短,有，足額投保,依法給,依法給足,幾乎沒有,低,固定月薪,45-50,合理範圍給,4,1,59,25,9,,3,難以升遷,2,中部醫院 case 量適中
2025-10-16,診所,立安牙醫診所,牙科,基隆市,櫃檯護理師,牙科,健保特約為主,只有我一人,跟診協助、注射／抽血、衛教,含夜診,100–150,無,無,依法給,打折,偶爾,中,月薪＋看診量／獎金,40-45,一律給,4,10,70,29,11,三節禮金,4,機會多,3,案件多但學得快
2025-10-15 12:04,診所,安欣診所,其他,台南市,診所護理師,其他,健保特約為主,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,純早診,60–100,無,無,無／不清楚,依法給足,經常,低,時薪,35-40,主管判斷,3,6,58,24,9,,3,難以升遷,2,案件量大但有規矩
2025-10-14 17:48,診所,立安骨科復健診所,骨科／復健,台東縣,診所護理師,骨科／復健,健保特約為主,2–3 人,跟診協助、批價／掛號／櫃檯,早＋午＋晚診,60–100,無,有，足額投保,依法給,依法給足,經常,低,固定月薪,40-45,合理範圍給,4,6,70,29,11,,3,難以升遷,2,
2025-10-13,診所,安欣皮膚科診所,皮膚科,南投縣,護理師,皮膚科,健保特約為主,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,早＋午診,150 以上,有，但常被中斷／縮短,無,依法給,依法給足,經常,低,月薪＋看診量／獎金,40-45,主管判斷,3,5,69,29,10,年節獎金,3,難以升遷,2,
2025-10-12 09:33,診所,杏一內科診所,家醫／一般內科,嘉義市,跟診護理師,家醫／一般內科,兩者皆有,2–3 人,跟診協助、注射／抽血、衛教,純早診,100–150,無,有，但以多報少,依法給,打折,罕見,中,時薪,40-45,合理範圍給,5,9,62,26,9,彈性工時,3,普通,3,可學到很多技術
2025-10-11 07:43,診所,欣民牙醫診所,牙科,彰化縣,護理長,牙科,兩者皆有,2–3 人,批價／掛號／櫃檯、給藥／藥品調劑協助,早＋午＋晚診,60–100,無,有，足額投保,部分,幾乎無,經常,低,固定月薪,40-45,一律給,7,9,108,45,16,彈性工時,4,普通,3,
2025-10-11,診所,仁愛皮膚科診所,皮膚科,屏東縣,護理長,皮膚科,健保特約為主,2–3 人,批價／掛號／櫃檯、給藥／藥品調劑協助,早＋午診,60–100,有，但常被中斷／縮短,無,依法給,打折,偶爾,無,月薪＋看診量／獎金,35-40,一律給,8,12,105,44,16,彈性工時,4,普通,3,團隊互助強
2025-10-10,診所,宏恩醫美診所,醫美,基隆市,跟診護理師,醫美,自費為主（如醫美）,只有我一人,醫美療程協助、衛教、進貨／庫存／藥械管理,純早診,100–150,有，完整 1 小時,有，足額投保,無／不清楚,打折,偶爾,中,固定月薪,40-45,一律給,5,3,58,24,9,彈性工時,3,普通,2,
2025-10-09 19:46,診所,立安醫美診所,醫美,台北市,診所護理師,醫美,自費為主（如醫美）,只有我一人,醫美療程協助、櫃檯諮詢,含夜診,60–100,有，但常被中斷／縮短,無,部分,打折,經常,無,月薪＋看診量／獎金,40-45,合理範圍給,8,5,68,29,10,,4,機會多,3,團隊互助強
2025-10-09,診所,仁愛健檢中心,健檢,基隆市,跟診護理師,健檢,兩者皆有,只有我一人,跟診協助、注射／抽血、衛教,早＋午＋晚診,30 以下,有，完整 1 小時,有，足額投保,依法給,依法給足,偶爾,低,固定月薪,40-45,合理範圍給,3,3,64,27,10,彈性工時,4,機會多,3,兒科氣氛溫暖
2025-10-08 23:29,診所,惠民健檢中心,健檢,苗栗縣,護理長,健檢,自費為主（如醫美）,4 人以上,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午＋晚診,60–100,無,有，足額投保,依法給,打折,偶爾,低,固定月薪,35-40,一律給,7,2,99,42,15,,4,機會多,3,主管管太細
2025-10-08 10:57,診所,康仁婦產科診所,婦產科,花蓮縣,護理長,婦產科,兩者皆有,2–3 人,跟診協助、批價／掛號／櫃檯,早＋午＋晚診,60–100,有，完整 1 小時,有，足額投保,依法給,幾乎無,罕見,中,固定月薪,35-40,主管判斷,3,4,96,40,14,員工旅遊補助,3,難以升遷,2,
2025-10-08,診所,欣民皮膚科診所,皮膚科,基隆市,跟診護理師,皮膚科,健保特約為主,只有我一人,跟診協助、批價／掛號／櫃檯,含夜診,100–150,有，但常被中斷／縮短,有，足額投保,無／不清楚,打折,罕見,低,固定月薪,40-45,主管判斷,4,7,63,26,9,員工旅遊補助,4,普通,3,安寧團隊互相 support
2025-10-08,診所,康仁牙醫診所,牙科,苗栗縣,護理師,牙科,兩者皆有,只有我一人,跟診協助、傷口換藥／小手術協助、疫苗接種,含夜診,30–60,有，但常被中斷／縮短,有，但以多報少,依法給,打折,偶爾,低,時薪,40-45,合理範圍給,8,11,67,28,10,員工旅遊補助,3,普通,2,leader 形同虛設
2025-10-08,診所,安欣身心診所,身心科,屏東縣,櫃檯護理師,身心科,兩者皆有,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,早＋午＋晚診,30 以下,有，但常被中斷／縮短,有，足額投保,依法給,依法給足,偶爾,低,固定月薪,45-50,合理範圍給,5,5,66,28,10,員工旅遊補助,3,普通,3,案件多但學得快
2025-10-07 17:52,診所,大同診所,其他,苗栗縣,跟診護理師,其他,兩者皆有,只有我一人,跟診協助、注射／抽血、衛教,早＋午診,100–150,有，但常被中斷／縮短,有，但以多報少,依法給,打折,偶爾,低,月薪＋看診量／獎金,40-45,合理範圍給,8,4,66,28,10,彈性工時,3,機會多,3,資深領班受重視
2025-10-07,診所,光華身心診所,身心科,嘉義縣,護理長,身心科,兩者皆有,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,純早診,30–60,無,無,依法給,幾乎無,偶爾,無,時薪,40-45,主管判斷,6,4,104,44,16,,4,普通,3,
2025-10-06 17:41,診所,大同健檢中心,健檢,屏東縣,跟診護理師,健檢,自費為主（如醫美）,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,週末門診輪值,60–100,無,有，足額投保,無／不清楚,幾乎無,偶爾,低,時薪,45-50,主管判斷,7,3,73,31,11,,3,普通,3,氣氛輕鬆
2025-10-06,診所,仁愛診所,泌尿／腸胃,彰化縣,櫃檯護理師,泌尿／腸胃,健保特約為主,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,純早診,60–100,無,有，足額投保,部分,依法給足,幾乎沒有,低,時薪,40-45,主管判斷,4,7,63,26,9,員工旅遊補助,4,普通,3,
2025-10-05 14:28,診所,大同中醫診所,中醫,台中市,跟診護理師,中醫,健保特約為主,只有我一人,跟診協助、健保申報／行政、環境清潔／消毒,純早診,60–100,有，完整 1 小時,無,依法給,依法給足,罕見,無,固定月薪,40-45,合理範圍給,2,7,60,25,9,,3,機會多,3,兒科氣氛溫暖
2025-10-05,診所,德安耳鼻喉科診所,耳鼻喉科,彰化縣,診所護理師,耳鼻喉科,健保特約為主,只有我一人,跟診協助、批價／掛號／櫃檯,純早診,30 以下,有，但常被中斷／縮短,有，但以多報少,無／不清楚,依法給足,幾乎沒有,低,時薪,40-45,一律給,6,11,59,25,9,,3,普通,3,案件量大但有規矩
2025-10-04 21:22,診所,康聯牙醫診所,牙科,桃園市,護理師,牙科,健保特約為主,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,早＋午＋晚診,60–100,無,有，足額投保,依法給,依法給足,幾乎沒有,無,固定月薪,45-50,一律給,4,11,60,25,9,年節獎金,3,難以升遷,2,可學到很多技術
2025-10-01 21:32,診所,立安婦產科診所,婦產科,花蓮縣,跟診護理師,婦產科,健保特約為主,只有我一人,批價／掛號／櫃檯、給藥／藥品調劑協助,早＋午診,60–100,無,無,依法給,依法給足,偶爾,低,固定月薪,35-40,主管判斷,6,2,61,26,9,,3,機會多,3,排班相對人性化
2025-09-30,診所,大同診所,其他,苗栗縣,櫃檯護理師,其他,健保特約為主,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,含夜診,60–100,有，但常被中斷／縮短,有，足額投保,無／不清楚,打折,罕見,無,月薪＋看診量／獎金,40-45,合理範圍給,5,7,63,26,9,,4,普通,3,主管管太細
2025-09-29,診所,明德耳鼻喉科診所,耳鼻喉科,彰化縣,護理師,耳鼻喉科,健保特約為主,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,週末門診輪值,60–100,有，完整 1 小時,有，足額投保,無／不清楚,依法給足,幾乎沒有,低,固定月薪,40-45,合理範圍給,4,9,66,28,10,三節禮金,4,機會多,3,主管支持度高
2025-09-28 21:47,診所,康聯醫美診所,醫美,苗栗縣,櫃檯護理師,醫美,自費為主（如醫美）,2–3 人,醫美療程協助、衛教、進貨／庫存／藥械管理,早＋午診,150 以上,有，但常被中斷／縮短,有，但以多報少,部分,依法給足,幾乎沒有,低,月薪＋看診量／獎金,45-50,一律給,4,2,69,29,10,員工旅遊補助,3,普通,3,可學到很多技術
2025-09-28 15:54,診所,宏恩健檢中心,健檢,桃園市,護理長,健檢,自費為主（如醫美）,2–3 人,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,含夜診,60–100,有，完整 1 小時,有，足額投保,部分,幾乎無,幾乎沒有,低,月薪＋看診量／獎金,40-45,一律給,7,12,94,39,14,年節獎金,3,機會多,3,中部醫院 case 量適中
2025-09-27 20:13,診所,光華眼科診所,眼科,嘉義市,護理長,眼科,兩者皆有,4 人以上,跟診協助、健保申報／行政、環境清潔／消毒,純早診,100–150,有，完整 1 小時,有，足額投保,無／不清楚,打折,經常,中,固定月薪,45-50,合理範圍給,7,5,92,39,14,彈性工時,3,難以升遷,2,夜班暴力事件多
2025-09-26 13:11,診所,明德診所,其他,屏東縣,診所護理師,其他,兩者皆有,4 人以上,批價／掛號／櫃檯、注射／抽血、進貨／庫存／藥械管理,含夜診,150 以上,無,有，足額投保,依法給,依法給足,罕見,低,固定月薪,35-40,合理範圍給,8,5,60,25,9,,4,機會多,3,排班相對人性化
2025-09-26,診所,大同內科診所,家醫／一般內科,台東縣,護理師,家醫／一般內科,健保特約為主,2–3 人,跟診協助、批價／掛號／櫃檯,週末門診輪值,30–60,無,有，足額投保,依法給,打折,偶爾,無,月薪＋看診量／獎金,40-45,主管判斷,1,4,65,27,10,彈性工時,4,機會多,3,人力穩定但行政會議多
2025-09-25 19:24,診所,宏恩健檢中心,健檢,嘉義市,跟診護理師,健檢,自費為主（如醫美）,2–3 人,跟診協助、健保申報／行政、環境清潔／消毒,早＋午＋晚診,30–60,無,有，足額投保,依法給,幾乎無,幾乎沒有,低,時薪,35-40,主管判斷,6,4,67,28,10,年節獎金,4,普通,3,可學到很多技術
