timestamp,institutionType,institutionName,unitName,location,jobTitle,erLevel,triageRatio,criticalRatio,observationRatio,violenceFreq,weeklyHours,overtimePolicy,yearsCurrent,yearsTotal,annualSalary,monthlyBase,annualBonus,workAtmosphere,promotion,recommendIndex,comment
2025-11-10,區域醫院,天主教耕莘醫療財團法人耕莘醫院,急診室,新北市,N2,中度級,1:30,1:3,1:8,每週,50-55,主管判斷,4,11,92,39,14,3,機會多,3,案件量大但有規矩
2025-11-10,醫學中心,彰化基督教醫療財團法人彰化基督教醫院,急診醫學部,彰化縣,N2,重度級,1:30,1:3,1:6,每月,50-55,合理範圍給,7,3,109,46,16,3,難以升遷,2,
2025-11-10,地區醫院,宏恩醫院,急診部,台中市,N1,一般級,1:35,1:3,1:6,每週,50-55,主管判斷,6,8,66,28,10,3,難以升遷,2,新人零保護
2025-11-10,地區醫院,元復醫院,急診部,新北市,護理長,一般級,1:40,1:2,1:8,罕見,50-55,一律給,8,2,109,46,16,3,難以升遷,1,主管常 stand-by 不夠
2025-11-09 21:33,地區醫院,中心診所醫療財團法人中心綜合醫院,急診部,台北市,N2,一般級,1:25,1:3,1:8,每月,50-55,合理範圍給,6,12,68,29,10,3,機會多,3,門診作息穩定
2025-11-09 14:29,區域醫院,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,急診醫學部,桃園市,N1,中度級,1:30,1:3,1:5,每季,50-55,一律給,1,4,87,37,13,4,普通,3,專科氣氛 OK
2025-11-09 11:49,區域醫院,奇美醫療財團法人柳營奇美醫院,急診中心,台南市,N1,中度級,1:25,1:3,1:8,罕見,45-50,合理範圍給,5,12,91,38,14,3,機會多,3,可學到很多技術
2025-11-09,地區醫院,聯安醫院,急診室,台中市,護理長,一般級,1:30,1:3,1:8,罕見,60+,一律不給,2,8,106,45,16,3,普通,1,常被臨時調班
2025-11-08 22:38,地區醫院,長安醫院,急診部,台中市,N1,一般級,1:40,1:2,1:5,罕見,50-55,合理範圍給,3,12,77,32,12,3,難以升遷,2,
2025-11-08 14:17,醫學中心,佛教慈濟醫療財團法人花蓮慈濟醫院,急診醫學部,花蓮縣,N3,重度級,1:30,1:2,1:8,每週,55-60,主管判斷,1,4,113,47,17,3,難以升遷,2,
2025-11-08 07:56,醫學中心,國立台灣大學醫學院附設醫院,急診醫學部,台北市,N0,重度級,1:25,1:3,1:5,每月,50-55,一律給,7,2,91,38,14,4,機會多,3,安寧團隊互相 support
2025-11-08,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,急診中心,台北市,N1,重度級,1:30,1:2,1:8,每季,50-55,一律給,3,6,107,45,16,4,機會多,3,團隊互助強
2025-11-08,區域醫院,衛生福利部基隆醫院,急診醫學部,基隆市,N2,一般級,1:35,1:4,1:8,每月,50-55,合理範圍給,2,8,96,40,14,4,機會多,3,安寧團隊互相 support
2025-11-08,醫學中心,長庚醫療財團法人台北長庚紀念醫院,急診室,台北市,N4,重度級,1:25,1:3,1:6,每週,50-55,主管判斷,5,7,127,53,19,4,普通,3,門診作息穩定
2025-11-07,醫學中心,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,急診室,新竹市,護理長,重度級,1:30,1:3,1:8,每月,60+,一律不給,1,10,139,58,21,3,普通,2,新人零保護
2025-11-07,區域醫院,台灣基督長老教會新樓醫療財團法人台南新樓醫院,急診醫學部,台南市,N3,一般級,1:40,1:3,1:8,每週,45-50,合理範圍給,2,13,94,39,14,3,普通,3,案件量大但有規矩
2025-11-07,區域醫院,澄清綜合醫院中港分院,急診醫學部,台中市,副護理長,一般級,1:30,1:3,1:5,每月,45-50,一律給,6,7,115,48,17,3,難以升遷,2,
2025-11-06 16:36,區域醫院,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,急診室,桃園市,N1,中度級,1:30,1:2,1:8,罕見,50-55,合理範圍給,6,2,84,35,13,3,機會多,3,可學到很多技術
2025-11-06,區域醫院,阮綜合醫療社團法人阮綜合醫院,急診室,高雄市,N1,一般級,1:35,1:4,1:6,罕見,55-60,主管判斷,1,2,84,35,13,3,難以升遷,2,人力嚴重不足
2025-11-05 18:52,區域醫院,新北市立土城醫院(委託長庚醫療財團法人興建經營),急診中心,新北市,N2,中度級,1:30,1:4,1:8,每週,55-60,一律不給,2,2,84,35,13,2,難以升遷,1,
2025-11-05 14:31,區域醫院,沙爾德聖保祿修女會醫療財團法人聖保祿醫院,急診醫學部,桃園市,N1,一般級,1:30,1:3,1:6,罕見,50-55,一律給,8,3,88,37,13,3,普通,2,主管管太細
2025-11-05,醫學中心,臺北榮民總醫院,急診室,台北市,N1,中度級,1:30,1:3,1:10,每季,50-55,合理範圍給,2,8,92,39,14,3,機會多,3,團隊互助強
2025-11-05,區域醫院,佛教慈濟醫療財團法人台中慈濟醫院,急診醫學部,台中市,N4,中度級,1:25,1:3,1:10,每季,50-55,合理範圍給,3,6,123,52,18,3,機會多,3,專科很強值得待
2025-11-05,區域醫院,基督復臨安息日會醫療財團法人臺安醫院,急診醫學部,台北市,護理長,一般級,1:30,1:3,1:8,每週,50-55,主管判斷,3,4,120,50,18,4,機會多,3,專科很強值得待
2025-11-05,地區醫院,德仁醫院,急診醫學部,桃園市,N2,一般級,1:40,1:4,1:8,每季,50-55,主管判斷,1,1,70,29,11,4,機會多,3,主管支持度高
2025-11-05,區域醫院,臺中榮民總醫院嘉義分院,急診中心,嘉義市,N3,中度級,1:40,1:4,1:5,每月,60+,主管判斷,5,5,92,39,14,3,難以升遷,2,常被臨時調班
2025-11-04 18:46,醫學中心,中山醫學大學附設醫院,急診室,台中市,護理長,中度級,1:30,1:4,1:10,每月,50-55,一律給,7,6,137,58,21,4,機會多,3,可學到很多技術
2025-11-04 16:30,醫學中心,高雄榮民總醫院,急診部,高雄市,N3,中度級,1:30,1:3,1:8,每月,60+,一律不給,6,8,118,50,18,3,難以升遷,2,加班沒給
2025-11-04 15:06,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,急診部,台北市,N2,重度級,1:25,1:2,1:5,每月,50-55,合理範圍給,5,8,109,46,16,4,普通,3,主管管太細
2025-11-04 13:42,區域醫院,振興醫療財團法人振興醫院,急診中心,台北市,N0,一般級,1:30,1:2,1:8,每季,50-55,主管判斷,2,12,88,37,13,4,機會多,3,可學到很多技術
2025-11-04 11:53,地區醫院,洪揚醫院,急診部,雲林縣,N0,一般級,1:30,1:2,1:5,每週,50-55,合理範圍給,8,13,73,31,11,4,機會多,3,專科很強值得待
2025-11-04,地區醫院,元復醫院,急診醫學部,新北市,副護理長,一般級,1:40,1:2,1:8,每週,50-55,主管判斷,2,2,92,39,14,4,普通,3,夜班輪轉公平
2025-11-04,醫學中心,佛教慈濟醫療財團法人花蓮慈濟醫院,急診中心,花蓮縣,護理長,重度級,1:30,1:2,1:8,每月,60+,一律不給,6,10,133,56,20,3,難以升遷,1,人力極端不足
2025-11-04,醫學中心,國泰醫療財團法人汐止國泰綜合醫院,急診醫學部,新北市,副護理長,中度級,1:25,1:3,1:6,罕見,50-55,主管判斷,8,5,132,55,20,3,普通,3,
2025-11-03 21:37,區域醫院,長庚醫療財團法人基隆長庚紀念醫院及其情人湖院區,急診部,基隆市,N2,中度級,1:25,1:4,1:8,每月,60+,一律不給,2,3,84,35,13,3,難以升遷,2,加班沒給
2025-11-03 21:34,區域醫院,天主教靈醫會醫療財團法人羅東聖母醫院,急診室,宜蘭縣,專科護理師,中度級,1:30,1:3,1:6,每季,45-50,合理範圍給,6,1,103,43,15,4,普通,3,新人訓練紮實
2025-11-03 13:23,區域醫院,新北市立土城醫院(委託長庚醫療財團法人興建經營),急診部,新北市,N1,一般級,1:35,1:2,1:8,每季,45-50,合理範圍給,8,13,78,33,12,3,機會多,3,專科氣氛 OK
2025-11-03,區域醫院,輔仁大學學校財團法人輔仁大學附設醫院,急診中心,新北市,N3,中度級,1:30,1:2,1:5,每月,60+,一律不給,4,10,97,41,15,3,難以升遷,2,新人零保護
2025-11-03,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,急診醫學部,台南市,N3,重度級,1:40,1:2,1:8,每月,50-55,主管判斷,3,10,118,50,18,4,普通,3,中部醫院 case 量適中
2025-11-02 17:56,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,急診部,台北市,N0,重度級,1:30,1:2,1:8,每月,45-50,一律給,5,11,89,37,13,4,普通,3,主管支持度高
2025-11-02 17:56,醫學中心,醫療財團法人徐元智先生醫藥基金會亞東紀念醫院,急診室,新北市,N1,重度級,1:40,1:2,1:10,每週,55-60,一律不給,5,13,106,45,16,2,難以升遷,1,加班沒給
2025-11-02 09:35,區域醫院,童綜合醫療社團法人童綜合醫院及其沙鹿院區,急診中心,台中市,副護理長,一般級,1:35,1:2,1:10,每月,50-55,一律給,4,3,118,50,18,4,機會多,3,工時長但待遇可
2025-11-02,醫學中心,中山醫學大學附設醫院,急診中心,台中市,N4,中度級,1:30,1:3,1:6,每月,60+,主管判斷,3,11,135,57,20,3,難以升遷,2,人力過勞且無加班費
2025-11-01 07:52,醫學中心,中國醫藥大學附設醫院,急診室,台中市,N3,中度級,1:30,1:3,1:8,每月,50-55,主管判斷,2,11,115,48,17,3,機會多,3,可學到很多技術
2025-10-31 19:58,醫學中心,台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院,急診室,新北市,專科護理師,重度級,1:35,1:3,1:8,每月,55-60,一律不給,3,12,119,50,18,3,難以升遷,2,新人零保護
2025-10-31 17:11,區域醫院,振興醫療財團法人振興醫院,急診室,台北市,N2,中度級,1:40,1:3,1:8,每週,50-55,主管判斷,8,1,96,40,14,3,難以升遷,2,人力過勞且無加班費
2025-10-31 13:59,地區醫院,清泉醫院,急診中心,台中市,N2,一般級,1:40,1:4,1:8,每週,60+,主管判斷,6,13,78,33,12,3,難以升遷,2,
2025-10-31 11:46,區域醫院,天主教靈醫會醫療財團法人羅東聖母醫院,急診中心,宜蘭縣,副護理長,中度級,1:30,1:4,1:5,每季,50-55,合理範圍給,2,12,106,45,16,3,機會多,3,
2025-10-31,區域醫院,長庚醫療財團法人嘉義長庚紀念醫院,急診中心,嘉義縣,專科護理師,中度級,1:30,1:3,1:8,每月,50-55,主管判斷,3,13,105,44,16,4,機會多,3,安寧團隊互相 support
2025-10-31,醫學中心,義大醫療財團法人義大醫院,急診醫學部,高雄市,N3,重度級,1:35,1:2,1:5,罕見,45-50,主管判斷,1,3,122,51,18,3,機會多,3,加班頻率可接受
2025-10-31,醫學中心,佛教慈濟醫療財團法人台北慈濟醫院,急診部,新北市,N2,重度級,1:30,1:2,1:8,罕見,45-50,合理範圍給,2,4,111,47,17,3,機會多,3,加班頻率可接受
2025-10-31,區域醫院,台南市立醫院(委託秀傳醫療社團法人經營),急診部,台南市,N1,中度級,1:40,1:4,1:8,每週,55-60,一律不給,1,4,82,34,12,3,難以升遷,2,案件量大但有規矩
2025-10-31,醫學中心,臺北榮民總醫院,急診部,台北市,副護理長,重度級,1:35,1:4,1:10,每月,55-60,一律不給,3,4,132,55,20,3,難以升遷,2,主管常 stand-by 不夠
2025-10-30 19:50,醫學中心,長庚醫療財團法人林口長庚紀念醫院,急診部,桃園市,N1,重度級,1:40,1:4,1:5,每月,45-50,一律給,3,10,97,41,15,4,機會多,3,門診作息穩定
2025-10-30,地區醫院,新泰綜合醫院,急診中心,新北市,N2,一般級,1:30,1:3,1:10,每季,50-55,合理範圍給,4,10,68,29,10,3,普通,2,加班頻率可接受
2025-10-29 23:21,區域醫院,台南市立醫院(委託秀傳醫療社團法人經營),急診室,台南市,副護理長,一般級,1:30,1:2,1:8,每週,45-50,合理範圍給,6,7,104,44,16,3,普通,2,
2025-10-29 22:49,區域醫院,衛生福利部桃園醫院,急診醫學部,桃園市,護理長,中度級,1:25,1:3,1:8,每週,45-50,合理範圍給,3,3,123,52,18,4,普通,3,
2025-10-29 20:50,區域醫院,長庚醫療財團法人桃園長庚紀念醫院及其長青院區,急診醫學部,桃園市,N3,中度級,1:35,1:2,1:10,每季,45-50,合理範圍給,7,5,104,44,16,4,普通,3,同事關係好
2025-10-29 15:32,醫學中心,臺北榮民總醫院,急診醫學部,台北市,N0,重度級,1:30,1:3,1:8,罕見,60+,主管判斷,1,8,92,39,14,3,難以升遷,2,人力穩定但行政會議多
2025-10-29,區域醫院,長庚醫療財團法人基隆長庚紀念醫院及其情人湖院區,急診部,基隆市,專科護理師,中度級,1:35,1:4,1:8,每月,45-50,主管判斷,5,11,101,42,15,3,普通,2,主管偏心嚴重
2025-10-29,醫學中心,高雄榮民總醫院,急診部,高雄市,N4,重度級,1:35,1:3,1:5,每月,50-55,合理範圍給,6,12,128,54,19,4,機會多,3,團隊互助強
2025-10-28 21:24,區域醫院,澄清綜合醫院,急診醫學部,台中市,N2,一般級,1:40,1:4,1:8,每月,60+,一律不給,4,8,85,36,13,2,難以升遷,1,新人零保護
2025-10-28 16:36,區域醫院,衛生福利部苗栗醫院,急診部,苗栗縣,N2,中度級,1:40,1:4,1:10,每月,50-55,一律給,1,4,87,37,13,4,機會多,3,安寧團隊互相 support
2025-10-28 15:20,區域醫院,臺北市立聯合醫院忠孝院區,急診室,台北市,副護理長,中度級,1:40,1:2,1:8,每月,50-55,合理範圍給,6,4,108,45,16,3,機會多,3,專科很強值得待
2025-10-28 09:26,區域醫院,輔仁大學學校財團法人輔仁大學附設醫院,急診醫學部,新北市,N4,中度級,1:40,1:2,1:6,罕見,45-50,合理範圍給,2,6,110,46,17,3,機會多,3,可學到很多技術
2025-10-28 07:37,區域醫院,秀傳醫療社團法人秀傳紀念醫院,急診中心,彰化縣,N0,中度級,1:35,1:4,1:5,每週,55-60,一律不給,8,11,78,33,12,3,難以升遷,2,leader 形同虛設
2025-10-28,區域醫院,衛生福利部彰化醫院,急診部,彰化縣,N1,中度級,1:40,1:3,1:8,每週,50-55,合理範圍給,1,9,87,37,13,3,機會多,3,
2025-10-28,醫學中心,臺北市立萬芳醫院-委託臺北醫學大學辦理,急診部,台北市,護理長,重度級,1:30,1:3,1:5,每月,60+,主管判斷,8,11,128,54,19,2,普通,1,
2025-10-27 22:36,醫學中心,高雄榮民總醫院,急診部,高雄市,N1,重度級,1:30,1:2,1:10,罕見,60+,主管判斷,3,12,105,44,16,3,普通,2,新人訓練紮實
2025-10-27 18:39,區域醫院,新竹市立馬偕兒童醫院(委託台灣基督長老教會馬偕醫療財團法人興建經營),急診部,新竹市,N1,一般級,1:30,1:2,1:8,罕見,45-50,合理範圍給,4,13,82,34,12,3,普通,3,門診作息穩定
2025-10-27 17:52,區域醫院,衛生福利部臺南醫院,急診中心,台南市,N1,中度級,1:40,1:3,1:8,每季,55-60,主管判斷,7,9,83,35,12,2,難以升遷,1,主管常 stand-by 不夠
2025-10-27 10:22,區域醫院,屏基醫療財團法人屏東基督教醫院及其瑞光院區,急診醫學部,屏東縣,專科護理師,一般級,1:30,1:4,1:5,每月,55-60,主管判斷,7,1,108,45,16,3,難以升遷,2,主管偏心嚴重
2025-10-27 08:08,地區醫院,天成醫院,急診醫學部,桃園市,N1,一般級,1:40,1:3,1:5,每季,50-55,一律給,7,1,67,28,10,2,難以升遷,1,人力極端不足
2025-10-27,醫學中心,佛教慈濟醫療財團法人花蓮慈濟醫院,急診醫學部,花蓮縣,N2,重度級,1:25,1:2,1:8,每月,60+,一律不給,7,13,112,47,17,3,普通,1,夜班暴力事件多
2025-10-27,區域醫院,埔基醫療財團法人埔里基督教醫院,急診部,南投縣,N2,中度級,1:30,1:4,1:5,每月,55-60,一律不給,7,4,82,34,12,2,難以升遷,1,
2025-10-27,區域醫院,臺北榮民總醫院桃園分院,急診中心,桃園市,副護理長,中度級,1:30,1:3,1:10,每週,50-55,合理範圍給,3,4,113,47,17,3,普通,3,新人訓練紮實
2025-10-27,醫學中心,衛生福利部雙和醫院(委託臺北醫學大學興建經營),急診醫學部,新北市,N3,重度級,1:40,1:4,1:8,每月,55-60,主管判斷,8,13,112,47,17,3,普通,2,leader 形同虛設
2025-10-27,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,急診醫學部,台北市,N2,重度級,1:25,1:2,1:10,每月,55-60,一律不給,5,9,109,46,16,3,難以升遷,2,沒人沒錢沒尊重
2025-10-26 22:21,區域醫院,李綜合醫療社團法人大甲李綜合醫院,急診室,台中市,N4,中度級,1:40,1:2,1:10,每月,50-55,合理範圍給,4,7,117,49,18,4,普通,3,可學到很多技術
2025-10-26 18:14,地區醫院,怡仁綜合醫院,急診醫學部,桃園市,N0,一般級,1:30,1:2,1:5,每週,50-55,一律給,1,9,63,26,9,4,機會多,3,工時長但待遇可
2025-10-26 13:12,區域醫院,台灣基督長老教會新樓醫療財團法人台南新樓醫院,急診中心,台南市,N4,中度級,1:30,1:3,1:8,每月,50-55,合理範圍給,7,8,118,50,18,3,機會多,3,氣氛輕鬆
2025-10-26,醫學中心,新光醫療財團法人新光吳火獅紀念醫院,急診中心,台北市,專科護理師,中度級,1:25,1:3,1:5,每月,45-50,合理範圍給,7,1,124,52,19,4,機會多,3,安寧團隊互相 support
2025-10-26,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,急診中心,台北市,N2,重度級,1:25,1:3,1:6,每週,50-55,主管判斷,5,7,105,44,16,3,難以升遷,2,可學到很多技術
2025-10-26,醫學中心,長庚醫療財團法人台北長庚紀念醫院,急診中心,台北市,N1,重度級,1:30,1:2,1:8,每月,50-55,合理範圍給,3,11,94,39,14,4,機會多,3,案件量大但有規矩
2025-10-26,地區醫院,忠港醫院,急診部,台中市,N4,一般級,1:25,1:2,1:6,每月,50-55,合理範圍給,8,12,98,41,15,3,普通,3,夜班輪轉公平
2025-10-26,區域醫院,國軍左營總醫院附設民眾診療服務處,急診中心,高雄市,N1,一般級,1:25,1:4,1:5,每月,50-55,合理範圍給,4,7,79,33,12,4,機會多,3,氣氛輕鬆
2025-10-26,區域醫院,衛生福利部苗栗醫院,急診中心,苗栗縣,N4,中度級,1:25,1:3,1:8,每月,55-60,一律不給,7,6,120,50,18,3,難以升遷,2,中部醫院 case 量適中
2025-10-26,區域醫院,醫療財團法人羅許基金會羅東博愛醫院,急診部,宜蘭縣,N1,中度級,1:30,1:3,1:8,罕見,45-50,合理範圍給,7,1,89,37,13,4,普通,3,可學到很多技術
2025-10-25 17:47,醫學中心,財團法人私立高雄醫學大學附設中和紀念醫院,急診室,高雄市,N4,重度級,1:40,1:4,1:8,罕見,50-55,主管判斷,1,1,134,56,20,4,機會多,3,專科氣氛 OK
2025-10-25 17:43,地區醫院,宋俊宏婦幼醫院,急診部,桃園市,N2,一般級,1:40,1:4,1:8,罕見,50-55,主管判斷,8,10,80,34,12,4,普通,3,可學到很多技術
2025-10-25 09:46,醫學中心,奇美醫療財團法人奇美醫院及其樹林院區,急診部,台南市,N2,重度級,1:35,1:2,1:8,罕見,60+,一律不給,2,1,106,45,16,3,難以升遷,2,人力過勞且無加班費
2025-10-25 08:51,醫學中心,長庚醫療財團法人林口長庚紀念醫院,急診部,桃園市,副護理長,重度級,1:30,1:4,1:10,每週,50-55,合理範圍給,3,3,120,50,18,3,機會多,3,排班相對人性化
2025-10-25 07:42,地區醫院,仁愛醫院,急診部,新北市,N3,一般級,1:30,1:4,1:10,每月,50-55,合理範圍給,5,7,82,34,12,3,難以升遷,2,
2025-10-25,區域醫院,聯新國際醫院,急診醫學部,桃園市,N2,中度級,1:30,1:4,1:10,罕見,50-55,主管判斷,5,10,86,36,13,4,機會多,3,人力穩定但行政會議多
2025-10-25,地區醫院,祥顥醫院,急診室,新北市,N4,一般級,1:30,1:3,1:10,罕見,50-55,合理範圍給,1,1,97,41,15,3,難以升遷,2,
2025-10-25,區域醫院,國軍花蓮總醫院附設民眾診療服務處,急診室,花蓮縣,N3,一般級,1:35,1:3,1:8,罕見,50-55,合理範圍給,4,7,104,44,16,3,機會多,3,加班頻率可接受
2025-10-25,醫學中心,中國醫藥大學附設醫院,急診室,台中市,專科護理師,重度級,1:30,1:4,1:10,每月,45-50,合理範圍給,6,2,123,52,18,4,機會多,3,
2025-10-25,醫學中心,國立臺灣大學醫學院附設醫院新竹臺大分院新竹醫院,急診醫學部,新竹市,專科護理師,重度級,1:30,1:2,1:8,每月,55-60,主管判斷,8,9,116,49,17,3,普通,2,
2025-10-24 13:41,區域醫院,東元醫療社團法人東元綜合醫院,急診室,新竹縣,N2,一般級,1:40,1:3,1:8,每月,45-50,合理範圍給,8,4,89,37,13,4,機會多,3,專科氣氛 OK
